date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-05-29,东方财富,鸡蛋,"流空 548,239,280",流空,short,-548239280,548239280,建仓过程
2026-05-29,东方财富,氧化铝,"流空 92,903,340",流空,short,-92903340,92903340,建仓过程
2026-05-29,东方财富,红枣,"流空 84,838,500",流空,short,-84838500,84838500,建仓过程
2026-05-29,东方财富,沪银,"流空 80,322,600",流空,short,-80322600,80322600,建仓过程
2026-05-29,东方财富,玉米,"流空 70,648,200",流空,short,-70648200,70648200,建仓过程
2026-05-29,东方财富,沪锌,"流多 23,941,650",流多,long,23941650,23941650,建仓过程
2026-05-29,东方财富,生猪,"流多 17,210,000",流多,long,17210000,17210000,建仓过程
2026-05-29,东方财富,烧碱,"流空 10,566,780",流空,short,-10566780,10566780,建仓过程
2026-05-29,东方财富,沪锡,"流多 8,922,480",流多,long,8922480,8922480,建仓过程
2026-05-29,东方财富,燃料油,"流多 8,755,150",流多,long,8755150,8755150,建仓过程
2026-05-29,东方财富,不锈钢,"流空 5,635,400",流空,short,-5635400,5635400,建仓过程
2026-05-29,东方财富,玻璃,"流空 5,283,060",流空,short,-5283060,5283060,建仓过程
2026-05-29,国泰君安,1000中证,"流空 4,040,162,320",流空,short,-4040162320,4040162320,建仓过程
2026-05-29,国泰君安,三十债,"流多 3,478,613,100",流多,long,3478613100,3478613100,建仓过程
2026-05-29,国泰君安,500中证,"流空 2,428,131,240",流空,short,-2428131240,2428131240,建仓过程
2026-05-29,国泰君安,十债,"流多 1,580,517,400",流多,long,1580517400,1580517400,建仓过程
2026-05-29,国泰君安,沪铜,"流多 1,162,182,400",流多,long,1162182400,1162182400,建仓过程
2026-05-29,国泰君安,300沪深,"流空 1,010,422,200",流空,short,-1010422200,1010422200,建仓过程
2026-05-29,国泰君安,碳酸锂,"流空 526,476,540",流空,short,-526476540,526476540,建仓过程
2026-05-29,国泰君安,沪银,"流多 525,947,070",流多,long,525947070,525947070,建仓过程
2026-05-29,国泰君安,天然橡胶,"流空 523,837,750",流空,short,-523837750,523837750,建仓过程
2026-05-29,国泰君安,焦煤,"流空 514,231,890",流空,short,-514231890,514231890,建仓过程
2026-05-29,国泰君安,螺纹钢,"流多 446,531,510",流多,long,446531510,446531510,建仓过程
2026-05-29,国泰君安,五债,"流多 439,687,800",流多,long,439687800,439687800,建仓过程
2026-05-29,国泰君安,沪金,"流空 307,356,000",流空,short,-307356000,307356000,建仓过程
2026-05-29,国泰君安,玉米,"流多 304,889,060",流多,long,304889060,304889060,建仓过程
2026-05-29,国泰君安,白糖,"流多 205,622,940",流多,long,205622940,205622940,建仓过程
2026-05-29,国泰君安,鸡蛋,"流多 199,325,590",流多,long,199325590,199325590,建仓过程
2026-05-29,国泰君安,二债,"流空 195,031,200",流空,short,-195031200,195031200,建仓过程
2026-05-29,国泰君安,玻璃,"流多 179,218,080",流多,long,179218080,179218080,建仓过程
2026-05-29,国泰君安,豆粕,"流多 161,178,530",流多,long,161178530,161178530,建仓过程
2026-05-29,国泰君安,硅铁,"流空 136,057,380",流空,short,-136057380,136057380,建仓过程
2026-05-29,国泰君安,乙二醇,"流空 131,321,330",流空,short,-131321330,131321330,建仓过程
2026-05-29,国泰君安,生猪,"流多 130,310,320",流多,long,130310320,130310320,建仓过程
2026-05-29,国泰君安,塑料,"流多 123,542,975",流多,long,123542975,123542975,建仓过程
2026-05-29,国泰君安,沪铅,"流多 119,740,575",流多,long,119740575,119740575,建仓过程
2026-05-29,国泰君安,热卷,"流多 119,356,830",流多,long,119356830,119356830,建仓过程
