date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-06-08,高盛期货,农副,花生,"净多2501
(增加9645)
净持仓数据",pk2610,5967,2560,4909,-6888
2026-06-08,高盛期货,农副,花生,"净多2501
(增加9645)
净持仓数据",pk2611,968,-116,0,0
2026-06-08,高盛期货,农副,花生,"净多2501
(增加9645)
净持仓数据",pk2612,475,313,0,0
2026-06-08,高盛期货,化工,液化气,"净多4063
(减少364)
净持仓数据",pg2607,3000,-612,0,0
2026-06-08,高盛期货,化工,液化气,"净多4063
(减少364)
净持仓数据",pg2608,1265,248,0,0
2026-06-08,高盛期货,化工,液化气,"净多4063
(减少364)
净持仓数据",pg2610,0,0,202,0
2026-06-08,高盛期货,化工,PP,"净多11916
(增加4047)
净持仓数据",pp2609,18749,4047,6833,0
2026-06-08,高盛期货,化工,瓶片,"净多1886
(增加454)
净持仓数据",pr2607,231,-172,0,0
2026-06-08,高盛期货,化工,瓶片,"净多1886
(增加454)
净持仓数据",pr2608,629,556,246,-57
2026-06-08,高盛期货,化工,瓶片,"净多1886
(增加454)
净持仓数据",pr2609,1272,13,0,0
2026-06-08,高盛期货,化工,对二甲苯,"净多599
(增加285)
净持仓数据",px2609,5123,321,4670,25
2026-06-08,高盛期货,化工,对二甲苯,"净多599
(增加285)
净持仓数据",px2701,146,-11,0,0
2026-06-08,高盛期货,化工,天然橡胶,"净多2559
(减少839)
净持仓数据",ru2609,2559,-839,0,0
2026-06-08,高盛期货,化工,纯碱,"净空60485
(增加4417)
净持仓数据",sa2609,0,0,43532,2607
2026-06-08,高盛期货,化工,纯碱,"净空60485
(增加4417)
净持仓数据",sa2701,0,0,16953,1810
2026-06-08,高盛期货,化工,PTA,"净多36790
(增加10442)
净持仓数据",ta2607,9986,-1667,0,0
2026-06-08,高盛期货,化工,PTA,"净多36790
(增加10442)
净持仓数据",ta2608,1960,287,0,0
2026-06-08,高盛期货,化工,PTA,"净多36790
(增加10442)
净持仓数据",ta2609,31728,6398,11824,-4121
2026-06-08,高盛期货,化工,PTA,"净多36790
(增加10442)
净持仓数据",ta2610,1000,254,0,0
2026-06-08,高盛期货,化工,PTA,"净多36790
(增加10442)
净持仓数据",ta2611,1000,330,0,0
2026-06-08,高盛期货,化工,PTA,"净多36790
(增加10442)
净持仓数据",ta2701,3225,719,285,0
2026-06-08,高盛期货,化工,沥青,"净多14428
(增加2191)
净持仓数据",bu2609,14428,2191,0,0
2026-06-08,高盛期货,化工,PVC,"净空48620
(减少1904)
净持仓数据",v2609,0,0,48620,-1904
2026-06-08,高盛期货,化工,苯乙烯,"净多11733
(增加266)
净持仓数据",eb2607,6819,-1113,0,0
2026-06-08,高盛期货,化工,苯乙烯,"净多11733
(增加266)
净持仓数据",eb2608,4914,1379,0,0
2026-06-08,高盛期货,化工,乙二醇,"净空5526
(减少3050)
净持仓数据",eg2609,4291,2366,9817,-684
2026-06-08,高盛期货,化工,塑料,"净空8397
(减少35)
净持仓数据",l2609,0,0,8932,-35
2026-06-08,高盛期货,化工,塑料,"净空8397
(减少35)
净持仓数据",l2701,535,0,0,0
2026-06-08,高盛期货,化工,甲醇,"净多25586
(增加5743)
净持仓数据",ma2609,25586,5743,0,0
2026-06-08,高盛期货,化工,20号胶,"净多5893
(增加559)
净持仓数据",nr2608,5356,347,0,0
2026-06-08,高盛期货,化工,20号胶,"净多5893
(增加559)
净持仓数据",nr2609,537,212,0,0
2026-06-08,高盛期货,化工,短纤,"净多4215
(增加1272)
净持仓数据",pf2608,7101,527,2886,-745
2026-06-08,高盛期货,原油,燃料油,"净空413
(减少484)
净持仓数据",fu2609,2891,1570,3304,1086
2026-06-08,高盛期货,原油,低硫油,"净多482
(减少31)
净持仓数据",lu2607,482,-31,0,0
2026-06-08,高盛期货,有色,沪锡,"净多227
(减少925)
净持仓数据",sn2608,595,-736,368,189
2026-06-08,高盛期货,有色,沪铝,"净空6401
(增加3775)
净持仓数据",al2608,4194,-1744,10595,2031
2026-06-08,高盛期货,有色,沪铜,"净多965
(减少778)
净持仓数据",cu2608,2712,-778,0,0
2026-06-08,高盛期货,有色,沪铜,"净多965
(减少778)
净持仓数据",cu2612,0,0,1747,0
2026-06-08,高盛期货,有色,沪锌,"净多10934
(减少1583)
净持仓数据",zn2607,2302,1,2277,30
